id,name,lat,lon
141,Montparnasse - Bienvenüe,48.84118692,2.320509228
142,Edgar Quinet,48.84066323,2.326384611
143,Raspail,48.83896428,2.330754192
144,Denfert-Rochereau,48.83429298,2.33285231
145,Saint-Jacques,48.83290082,2.337135195
146,Glacière,48.83112955,2.343511658
147,Corvisart,48.82979051,2.350414871
148,Place d'Italie,48.8309953,2.355834898
149,Nationale,48.83321672,2.3628564
150,Chevaleret,48.83494772,2.368126329
151,Quai de la Gare,48.83704512,2.372825725
152,Bercy,48.84030209,2.379121776
153,Dugommier,48.83904114,2.389620015
154,Daumesnil,48.8395672,2.395952927
155,Bel-Air,48.84133825,2.400918537
156,Picpus,48.84506158,2.40128902
157,Nation,48.84823711,2.395823589
158,La Courneuve - 8 Mai 1945,48.92083333,2.410555556
159,Fort d'Aubervilliers,48.91416667,2.404166667
160,Aubervilliers - Pantin - Quatre Chemins,48.90388889,2.3925
161,Porte de la Villette Cité des Sciences et de l'Industrie,48.89694444,2.385833333
162,Corentin Cariou,48.89472222,2.3825
163,Crimée,48.89138889,2.377222222
164,Riquet,48.88833333,2.374166667
165,Stalingrad,48.88416667,2.368611111
166,Louis Blanc,48.88138889,2.365277778
167,Château-Landon,48.87861111,2.361944444
168,Gare de l'Est,48.87611111,2.358055556
169,Poissonnière,48.87694444,2.349166667
170,Cadet,48.87583333,2.343055556
171,Le Peletier,48.875,2.340555556
172,Chaussée d'Antin - La Fayette,48.87277778,2.333333333
173,Opéra,48.87055556,2.332777778
174,Pyramides,48.86638889,2.333888889
175,Palais-Royal - Musée du Louvre,48.86277778,2.336111111
176,Pont-Neuf,48.85861111,2.342222222
177,Châtelet,48.85861111,2.347222222
178,Pont Marie Cité des Arts,48.85361111,2.357222222
179,Sully - Morland,48.85111111,2.3625
180,Jussieu,48.84583333,2.354722222
181,Place Monge Jardin des Plantes - Arènes de Lutèce,48.84333333,2.3525
182,Censier - Daubenton,48.84055556,2.351666667
183,Les Gobelins,48.83666667,2.351944444
184,Place d'Italie,48.83138889,2.355833333
185,Tolbiac,48.82611111,2.356944444
186,Maison Blanche,48.82222222,2.358611111
187,Le Kremlin-Bicêtre,48.81027778,2.361944444
188,Villejuif - Léo Lagrange,48.80472222,2.363611111
189,Villejuif - Paul Vaillant-Couturier Hôpital Paul Brousse,48.79638889,2.368055556
190,Villejuif - Louis Aragon,48.78694444,2.367222222
191,Porte d'Italie,48.81916667,2.359444444
192,Porte de Choisy,48.82,2.364444444
193,Porte d'Ivry,48.82166667,2.369166667
194,Pierre et Marie Curie,48.81583333,2.3775
195,Mairie d'Ivry,48.81111111,2.382777778
196,Louis Blanc,48.88158425,2.365921037
197,Jaurès,48.88273813,2.370122312
198,Bolivar,48.88082126,2.374147154
199,Buttes Chaumont,48.87851411,2.381614513
200,Botzaris,48.87948177,2.389115807
201,Danube,48.881932,2.393445452
202,Place des Fêtes,48.87680639,2.393056093
203,Pré-Saint-Gervais,48.87999579,2.398946662
204,Balard,48.83609678,2.278237952
205,Lourmel,48.83896094,2.282700027
206,Boucicaut,48.84109406,2.287945767
207,Félix Faure,48.84274678,2.291912413
208,Commerce,48.84479476,2.293951964
209,La Motte-Picquet - Grenelle,48.84906456,2.297916592
210,École Militaire,48.85468216,2.306097404
211,La Tour-Maubourg,48.85772541,2.310565961
212,Invalides,48.86290184,2.313908906
213,Concorde,48.8662858,2.322943412
214,Madeleine,48.87009973,2.32516411
215,Opéra,48.87067768,2.332354639
216,Richelieu - Drouot,48.87201346,2.340051786
217,Grands Boulevards,48.87149774,2.343154773
218,Bonne-Nouvelle,48.8701642,2.350497972
219,Strasbourg - Saint-Denis,48.86929401,2.354280879
220,République,48.86750342,2.363826144
221,Filles du Calvaire,48.86325795,2.366661095
222,Saint-Sébastien - Froissart,48.86116887,2.367210866
223,Chemin Vert,48.85742004,2.368108291
224,Bastille,48.85343696,2.368736573
225,Ledru-Rollin,48.85127113,2.376118775
226,Faidherbe - Chaligny,48.85017786,2.38409221
227,Reuilly - Diderot,48.84735452,2.386808446
228,Montgallet,48.84440867,2.390075113
229,Daumesnil,48.8395672,2.395952927
230,Michel Bizot,48.83711701,2.402333166
231,Porte Dorée,48.83476446,2.405349343
232,Porte de Charenton,48.83230496,2.39918151
233,Liberté,48.826055,2.406742223
234,Charenton - Écoles,48.82159577,2.413737516
235,École vétérinaire de Maisons-Alfort,48.81480301,2.422376143
236,Maisons-Alfort - Stade,48.80914436,2.434509896
237,Maisons-Alfort - Les Juilliottes,48.80263769,2.446927484
238,Créteil - L'Échat Hôpital Henri Mondor,48.79674077,2.449433176
239,Créteil - Université,48.78997831,2.450453178
240,Créteil - Préfecture Hôtel de Ville,48.77990532,2.459368396
241,Pointe du Lac,48.76871513,2.464564993
242,Pont de Sèvres,48.82967484,2.230799591
243,Billancourt,48.83211056,2.238639349
244,Marcel Sembat,48.83370885,2.243840595
245,Porte de Saint-Cloud Parc des Princes,48.83796121,2.25712223
246,Exelmans,48.8429387,2.260032902
247,Michel-Ange - Molitor,48.84524119,2.261893642
248,Michel-Ange - Auteuil,48.8479431,2.264130427
249,Jasmin,48.85250409,2.268176749
250,Ranelagh,48.85548505,2.270109139
251,La Muette,48.85804606,2.274154628
252,Rue de la Pompe,48.86397445,2.278112563
253,Trocadéro,48.86307378,2.287166876
254,Iéna,48.86479406,2.294162014
255,Alma - Marceau,48.86476685,2.300991004
256,Franklin D. Roosevelt,48.86902653,2.309935389
257,Saint-Philippe du Roule,48.87242238,2.310038345
258,Miromesnil,48.87368521,2.31446799
259,Saint-Augustin,48.87455838,2.321361928
260,Havre - Caumartin,48.87380673,2.326999859
261,Chaussée d'Antin - La Fayette,48.87296814,2.333257092
262,Richelieu - Drouot,48.87201346,2.340051786
263,Grands Boulevards,48.87149774,2.343154773
264,Bonne-Nouvelle,48.8701642,2.350497972
265,Strasbourg - Saint-Denis,48.86929401,2.354280879
266,République,48.86750342,2.363826144
267,Oberkampf,48.86472762,2.368496387
268,Saint-Ambroise,48.86101926,2.374733431
269,Voltaire,48.85745372,2.380718786
270,Charonne,48.8545805,2.385563481
271,Rue des Boulets,48.85231543,2.389378128
272,Nation,48.84823711,2.395823589
273,Buzenval,48.85181213,2.401022271
274,Maraîchers,48.85272512,2.406089163
275,Porte de Montreuil,48.85354392,2.410626426
276,Robespierre,48.85572643,2.422983216
277,Croix de Chavaux,48.85796559,2.43555572
