INSERTED;UUID;LINE;NAME;DIRECT_LINK;GROUP_NAME;GROUP_NAME_CNT;CHANGE_SAME;CHANGE_DIFF;HUMANIZE_DIRECT_LINK;HUMANIZE_CHANGE_SAME;LATITUDE;LONGITUDE
700;df3e3243-f9d4-4c3a-90df-429ed8bdb265;M3;Parmentier;b02dedb1-5c12-4990-85a3-51b96860363d/7c5b978b-835f-481e-a408-1818c85fae36;Parmentier;1;;;Opéra / Père Lachaise;;48,86525378610;2,37458197000
710;7c5b978b-835f-481e-a408-1818c85fae36;M3;Rue Saint-Maur;df3e3243-f9d4-4c3a-90df-429ed8bdb265/85a18989-c8c3-4b4e-9f8a-cccc95167713;Rue Saint-Maur;1;;;République / Sentier;;48,87500639810;2,32457481029
720;85a18989-c8c3-4b4e-9f8a-cccc95167713;M3;Père Lachaise;7c5b978b-835f-481e-a408-1818c85fae36/b5b5dab5-ed60-4782-9efd-736be530c098;Père Lachaise;2;f4d561ba-e7f2-42b2-b8f6-d82da069ea9c;;Parmentier / Porte de Bagnolet;Père Lachaise;48,86312321460;2,38588244933
730;b5b5dab5-ed60-4782-9efd-736be530c098;M3;Gambetta;85a18989-c8c3-4b4e-9f8a-cccc95167713/e239d124-0875-4832-a242-a5584a957bd2;Gambetta;2;6af0419d-a071-45c7-931b-59155b7015e3;;Gallieni / Opéra;Gambetta;48,86491668510;2,39898444025
740;e239d124-0875-4832-a242-a5584a957bd2;M3;Porte de Bagnolet;b5b5dab5-ed60-4782-9efd-736be530c098/c678762b-4217-426b-95ba-2e201a5d27b2;Porte de Bagnolet;1;;;Père Lachaise / Quatre-Septembre;;48,86460037340;2,40803103708
750;c678762b-4217-426b-95ba-2e201a5d27b2;M3;Gallieni;e239d124-0875-4832-a242-a5584a957bd2;Gallieni;1;;;Bourse;;48,86533531730;2,41669727286
760;ed9de319-e425-4801-b53a-8e42740e5f4b;M3BIS;Porte des Lilas;2cf3a892-f374-42e3-b3f0-b7f8de2e4eff;Porte des Lilas;2;2f7ffcbd-6ec8-47c7-951c-6e03298a828c;;Saint-Fargeau;Porte des Lilas;48,87711051180;2,40672924554
770;2cf3a892-f374-42e3-b3f0-b7f8de2e4eff;M3BIS;Saint-Fargeau;ed9de319-e425-4801-b53a-8e42740e5f4b/07d0c083-a9e7-4f39-8526-50274cac3eb4;Saint-Fargeau;1;;;Porte des Lilas / Pelleport;;48,87210144210;2,40451494238
780;07d0c083-a9e7-4f39-8526-50274cac3eb4;M3BIS;Pelleport;2cf3a892-f374-42e3-b3f0-b7f8de2e4eff/6af0419d-a071-45c7-931b-59155b7015e3;Pelleport;1;;;Saint-Fargeau / Gambetta;;48,86844016330;2,40156171274
790;6af0419d-a071-45c7-931b-59155b7015e3;M3BIS;Gambetta;07d0c083-a9e7-4f39-8526-50274cac3eb4;Gambetta;2;b5b5dab5-ed60-4782-9efd-736be530c098;;Pelleport;Gambetta;48,86516343490;2,39874659344
800;f45eccca-20a6-4114-859f-93224afd9f73;M4;Porte de Clignancourt;d8787d52-05f8-4770-abfc-cb1b3839e5e6;Porte de Clignancourt;1;;;Simplon;;48,89740222290;2,34484774875
810;d8787d52-05f8-4770-abfc-cb1b3839e5e6;M4;Simplon;f45eccca-20a6-4114-859f-93224afd9f73/d1d23771-c86a-4e7b-9dbd-a035b2afa48a;Simplon;1;;;Porte de Clignancourt / Marcadet - Poissonniers;;48,89394138800;2,34776550172
820;d1d23771-c86a-4e7b-9dbd-a035b2afa48a;M4;Marcadet - Poissonniers;d8787d52-05f8-4770-abfc-cb1b3839e5e6/e6aee936-3acc-471d-b108-eb8cc91bf364;Marcadet - Poissonniers;2;e8a7c66f-1db1-41fc-97a0-519752af401e;;Simplon / Château Rouge;Marcadet - Poissonniers;48,89141683420;2,34973840702
830;e6aee936-3acc-471d-b108-eb8cc91bf364;M4;Château Rouge;d1d23771-c86a-4e7b-9dbd-a035b2afa48a/57462cbc-7eca-4406-a66c-52107e06f2e2;Château Rouge;1;;;Marcadet - Poissonniers / Barbès - Rechechouart;;48,88737491060;2,34969408220
840;57462cbc-7eca-4406-a66c-52107e06f2e2;M4;Barbès - Rechechouart;e6aee936-3acc-471d-b108-eb8cc91bf364/26320586-e7af-4abf-bd3a-bd8383359193;Barbès - Rechechouart;2;83fffe6d-c4b2-4ba4-a631-7078087c95af;;Château Rouge / Gare du Nord;Barbès - Rechechouart;48,88343618810;2,34977444365
850;26320586-e7af-4abf-bd3a-bd8383359193;M4;Gare du Nord;57462cbc-7eca-4406-a66c-52107e06f2e2/154524ba-089d-4474-b1cf-9533abbd28b0;Gare du Nord;2;ba871a49-ba2a-4ef0-bcba-86559c28d894;;Barbès - Rechechouart / Gare de l'Est;Gare du Nord;48,87955128440;2,35699516401
860;154524ba-089d-4474-b1cf-9533abbd28b0;M4;Gare de l'Est;26320586-e7af-4abf-bd3a-bd8383359193/74958610-ad70-46b3-80e0-64a0a06164d7;Gare de l'Est;3;979f7753-6044-4475-826d-9873b9020a51/c5202f62-6a57-44bb-b057-422e3454ee38;;Gare du Nord / Château d'Eau;Gare de l'Est / Gare de l'Est;48,87599106480;2,35788077193
870;74958610-ad70-46b3-80e0-64a0a06164d7;M4;Château d'Eau;154524ba-089d-4474-b1cf-9533abbd28b0/b72964b7-7ffb-4ca7-8729-baebb0b40c41;Château d'Eau;1;;;Gare de l'Est / Strasbourg - Saint-Denis;;48,87242491450;2,35604490767
880;b72964b7-7ffb-4ca7-8729-baebb0b40c41;M4;Strasbourg - Saint-Denis;74958610-ad70-46b3-80e0-64a0a06164d7/a2da50b7-0e06-48a7-9902-de0d454aa4f7;Strasbourg - Saint-Denis;3;6014b488-6855-4d24-9291-e4a40fe4cde0/e7e5d05f-8f22-433a-8219-791a337d4bef;;Château d'Eau / Réaumur - Sébastopol;Strasbourg - Saint-Denis / Strasbourg - Saint-Denis;48,86949077450;2,35439176839
890;a2da50b7-0e06-48a7-9902-de0d454aa4f7;M4;Réaumur - Sébastopol;b72964b7-7ffb-4ca7-8729-baebb0b40c41/911b28ae-f78d-4cda-81ba-c97eb31dd9ba;Réaumur - Sébastopol;2;9abe35dc-425d-43e3-9733-96c8861f77f3;;Strasbourg - Saint-Denis / Etienne Marcel;Réaumur - Sébastopol;48,86606968910;2,35245974411
900;911b28ae-f78d-4cda-81ba-c97eb31dd9ba;M4;Etienne Marcel;a2da50b7-0e06-48a7-9902-de0d454aa4f7/48c85a26-a721-453a-aacc-e1258603bfa6;Etienne Marcel;1;;;Réaumur - Sébastopol / Les Halles;;48,86380743780;2,34888065259
910;48c85a26-a721-453a-aacc-e1258603bfa6;M4;Les Halles;911b28ae-f78d-4cda-81ba-c97eb31dd9ba/c9afc5c0-8386-4ac7-ba16-b78795f4bc30;Les Halles;1;;;Etienne Marcel / Châtelet;;48,86231627870;2,34567382822
920;c9afc5c0-8386-4ac7-ba16-b78795f4bc30;M4;Châtelet;48c85a26-a721-453a-aacc-e1258603bfa6/a8285f92-4343-42ec-b41d-5a8e88b53687;Châtelet;5;241906bd-1a8a-460a-a00a-19ab1e7af0d9/9046fec1-7211-4c22-bdc3-f28e5aff4f2a/dbdbbb8b-724e-4cb7-af3f-a8d4094d0b87/22df1bb1-c6ab-4788-8194-fd97d494e025;;Les Halles / Cité;Châtelet / Châtelet / Châtelet / Châtelet;48,85838237030;2,34756482975
930;a8285f92-4343-42ec-b41d-5a8e88b53687;M4;Cité;c9afc5c0-8386-4ac7-ba16-b78795f4bc30/12706f88-0949-4d87-865e-dc27efd3cda2;Cité;1;;;Châtelet / Saint-Michel;;48,85493637660;2,34732131573
940;12706f88-0949-4d87-865e-dc27efd3cda2;M4;Saint-Michel;a8285f92-4343-42ec-b41d-5a8e88b53687/6f0be043-8753-47a5-af4e-873682e9e557;Saint-Michel;1;;;Cité / Odéon;;48,85316798490;2,34328597892
950;6f0be043-8753-47a5-af4e-873682e9e557;M4;Odéon;12706f88-0949-4d87-865e-dc27efd3cda2/c5c61f9a-c2d7-41d3-9f01-5fde78f60865;Odéon;2;02040ce7-ca49-4639-8f91-54f65df79ee7;;Saint-Michel / Saint-Germain-des-Prés;Odéon;48,85230076310;2,33972778159
960;c5c61f9a-c2d7-41d3-9f01-5fde78f60865;M4;Saint-Germain-des-Prés;6f0be043-8753-47a5-af4e-873682e9e557/67e54c11-3701-49de-9b5a-d18be9e90e20;Saint-Germain-des-Prés;1;;;Odéon / Saint-Sulpice;;48,85371893400;2,33377613686
970;67e54c11-3701-49de-9b5a-d18be9e90e20;M4;Saint-Sulpice;c5c61f9a-c2d7-41d3-9f01-5fde78f60865/d402283d-be4a-4e2d-b2e0-aeaf1abbe134;Saint-Sulpice;1;;;Saint-Germain-des-Prés / Saint-Placide;;48,85167224560;2,33125629137
980;d402283d-be4a-4e2d-b2e0-aeaf1abbe134;M4;Saint-Placide;67e54c11-3701-49de-9b5a-d18be9e90e20/73c193b7-7eb9-41c3-b5e8-74f92bc20b8c;Saint-Placide;1;;;Saint-Sulpice / Montparnasse - Bienvenüe;;48,84687823800;2,32679278504
990;73c193b7-7eb9-41c3-b5e8-74f92bc20b8c;M4;Montparnasse - Bienvenüe;d402283d-be4a-4e2d-b2e0-aeaf1abbe134/a4a70632-c11f-4002-a2d9-e39c82060717;Montparnasse - Bienvenüe;4;f4c3281c-5625-4317-8fac-0a7d2b566fc2/56f37902-496a-4972-8020-d9013b6b1a63/602f7ed3-bcf1-4286-a47c-258266973dde;;Saint-Placide / Vavin;Montparnasse - Bienvenüe / Montparnasse - Bienvenüe / Montparnasse - Bienvenüe;48,84378130480;2,32439701240
1000;a4a70632-c11f-4002-a2d9-e39c82060717;M4;Vavin;73c193b7-7eb9-41c3-b5e8-74f92bc20b8c/ba33f3f8-5a6f-4b43-bec5-80ebc9b8a9e6;Vavin;1;;;Montparnasse - Bienvenüe / Raspail;;48,84221841360;2,32900892624
1010;ba33f3f8-5a6f-4b43-bec5-80ebc9b8a9e6;M4;Raspail;a4a70632-c11f-4002-a2d9-e39c82060717/eb1fb494-48a4-4252-baab-0a5ebc29b41a;Raspail;2;da728721-895f-43c5-a9e5-91cac3090415;;Vavin / Denfert - Rochereau;Raspail;48,83896428070;2,33075419209
1020;eb1fb494-48a4-4252-baab-0a5ebc29b41a;M4;Denfert - Rochereau;ba33f3f8-5a6f-4b43-bec5-80ebc9b8a9e6/4996164a-af29-49b5-9701-f6f496d538af;Denfert - Rochereau;2;3def76a3-c0d3-4d2b-999f-c28d4adb2e8f;;Raspail / Mouton - Duvernet;Denfert - Rochereau;48,83345085820;2,33174013099
1030;4996164a-af29-49b5-9701-f6f496d538af;M4;Mouton - Duvernet;eb1fb494-48a4-4252-baab-0a5ebc29b41a/1d708958-e2e5-4738-a9dd-6a02a5b6de4a;Mouton - Duvernet;1;;;Denfert - Rochereau / Alésia;;48,83111266040;2,32970501262
1040;1d708958-e2e5-4738-a9dd-6a02a5b6de4a;M4;Alésia;4996164a-af29-49b5-9701-f6f496d538af/61c65477-c6d8-4918-9f11-286bf3638bd1;Alésia;1;;;Mouton - Duvernet / Porte d'Orléan;;48,82818847630;2,32716464961
1050;61c65477-c6d8-4918-9f11-286bf3638bd1;M4;Porte d'Orléan;1d708958-e2e5-4738-a9dd-6a02a5b6de4a/6d195900-116c-4b85-bcb0-6d6f9bb695bd;Porte d'Orléan;1;;;Alésia / Mairie de Montrouge;;48,82341162900;2,32557563621
1060;6d195900-116c-4b85-bcb0-6d6f9bb695bd;M4;Mairie de Montrouge;61c65477-c6d8-4918-9f11-286bf3638bd1;Mairie de Montrouge;1;;;Porte d'Orléan;;48,81867640990;2,31974031330
1070;a172deef-108f-4889-b274-336bc256ac2f;M5;Bobigny - Pablo Picasso;cd313e09-ce5d-409c-8ea8-55cac0dcd5bc;Bobigny - Pablo Picasso;1;;;Bobigny - Pantin - Raymond Queneau;;48,90637477030;2,44918990449
1080;cd313e09-ce5d-409c-8ea8-55cac0dcd5bc;M5;Bobigny - Pantin - Raymond Queneau;a172deef-108f-4889-b274-336bc256ac2f/72b9bbe5-8fd5-4b24-92ee-d5f0ddada128;Bobigny - Pantin - Raymond Queneau;1;;;Bobigny - Pablo Picasso / Eglise de Pantin;;48,89545467300;2,42532688880
1090;72b9bbe5-8fd5-4b24-92ee-d5f0ddada128;M5;Eglise de Pantin;cd313e09-ce5d-409c-8ea8-55cac0dcd5bc/b1aed7a7-f269-484a-90f5-961cb3c541bb;Eglise de Pantin;1;;;Bobigny - Pantin - Raymond Queneau / Hoche;;48,89325759000;2,41331313951
1100;b1aed7a7-f269-484a-90f5-961cb3c541bb;M5;Hoche;72b9bbe5-8fd5-4b24-92ee-d5f0ddada128/1bf4d462-672a-4ac5-a6ad-6bada09d7286;Hoche;1;;;Eglise de Pantin / Porte de Pantin;;48,89122859320;2,40235214254
1110;1bf4d462-672a-4ac5-a6ad-6bada09d7286;M5;Porte de Pantin;b1aed7a7-f269-484a-90f5-961cb3c541bb/80951edc-35d3-4481-b648-3b9853d91067;Porte de Pantin;1;;;Hoche / Ourcq;;48,88850368790;2,39211369776
