INSERTED;UUID;LINE;NAME;DIRECT_LINK;GROUP_NAME;GROUP_NAME_CNT;CHANGE_SAME;CHANGE_DIFF;HUMANIZE_DIRECT_LINK;HUMANIZE_CHANGE_SAME;LATITUDE;LONGITUDE
1340;76e2aa2c-b01f-4e0f-86c3-d08605088205;M6;Bir-Hakheim;93e53aee-eb29-4366-98b1-0dd1447daec5/f13c272f-3d8a-4a7b-842f-0d7415410f97;Bir-Hakheim;1;;;Passy / Dupleix;;48,85394260710;2,28933453277
1350;f13c272f-3d8a-4a7b-842f-0d7415410f97;M6;Dupleix;76e2aa2c-b01f-4e0f-86c3-d08605088205/43cb2e8d-a03c-4539-975d-48113a7dc1fb;Dupleix;1;;;Bir-Hakheim / La Motte-Piquet - Grenelle;;48,85043454900;2,29361243991
1360;43cb2e8d-a03c-4539-975d-48113a7dc1fb;M6;La Motte-Piquet - Grenelle;f13c272f-3d8a-4a7b-842f-0d7415410f97/e359031e-93f3-4121-901c-1efcf919db2f;La Motte-Piquet - Grenelle;3;418bdc65-4b7d-443f-a024-1200bc1b5557/738f1322-411b-4cf5-a367-1ba41f472b1f;;Dupleix / Cambronne;La Motte-Piquet - Grenelle / La Motte-Piquet - Grenelle;48,84874166570;2,29893091175
1370;e359031e-93f3-4121-901c-1efcf919db2f;M6;Cambronne;43cb2e8d-a03c-4539-975d-48113a7dc1fb/d1c36fe0-7027-46af-8680-d877c6426ee2;Cambronne;1;;;La Motte-Piquet - Grenelle / Sévres - Lecourbe;;48,84750708110;2,30296829919
1380;d1c36fe0-7027-46af-8680-d877c6426ee2;M6;Sévres - Lecourbe;e359031e-93f3-4121-901c-1efcf919db2f/eaadd210-e039-48df-86fa-9f8d61a603d9;Sèvres - Lecourbe;1;;;Cambronne / Pasteur;;48,84562696670;2,30953149010
1390;eaadd210-e039-48df-86fa-9f8d61a603d9;M6;Pasteur;d1c36fe0-7027-46af-8680-d877c6426ee2/f4c3281c-5625-4317-8fac-0a7d2b566fc2;Pasteur;2;7f4eee61-63d3-4585-bec2-9f50d878c46f;;Sévres - Lecourbe / Montparnasse - Bienvenüe;Pasteur;48,84267682000;2,31281277347
1400;f4c3281c-5625-4317-8fac-0a7d2b566fc2;M6;Montparnasse - Bienvenüe;eaadd210-e039-48df-86fa-9f8d61a603d9/ba55b1b7-623b-432d-a474-40f5a6fc0fad;Montparnasse - Bienvenüe;4;73c193b7-7eb9-41c3-b5e8-74f92bc20b8c/56f37902-496a-4972-8020-d9013b6b1a63/602f7ed3-bcf1-4286-a47c-258266973dde;;Pasteur / Edgar Quinet;Montparnasse - Bienvenüe / Montparnasse - Bienvenüe / Montparnasse - Bienvenüe;48,84210220720;2,32127856274
1410;ba55b1b7-623b-432d-a474-40f5a6fc0fad;M6;Edgar Quinet;f4c3281c-5625-4317-8fac-0a7d2b566fc2/da728721-895f-43c5-a9e5-91cac3090415;Edgar Quinet;1;;;Montparnasse - Bienvenüe / Raspail;;48,84066322930;2,32638461079
1420;da728721-895f-43c5-a9e5-91cac3090415;M6;Raspail;ba55b1b7-623b-432d-a474-40f5a6fc0fad/3def76a3-c0d3-4d2b-999f-c28d4adb2e8f;Raspail;2;ba33f3f8-5a6f-4b43-bec5-80ebc9b8a9e6;;Edgar Quinet / Denfert - Rochereau;Raspail;48,83896428070;2,33075419209
1430;3def76a3-c0d3-4d2b-999f-c28d4adb2e8f;M6;Denfert - Rochereau;da728721-895f-43c5-a9e5-91cac3090415/ed544ed8-535a-4ce1-9430-9546d68747df;Denfert - Rochereau;2;eb1fb494-48a4-4252-baab-0a5ebc29b41a;;Raspail / Saint-Jacques;Denfert - Rochereau;48,83429298050;2,33285230996
1440;ed544ed8-535a-4ce1-9430-9546d68747df;M6;Saint-Jacques;3def76a3-c0d3-4d2b-999f-c28d4adb2e8f/f7564950-e922-406b-bc65-e5f80bad1576;Saint-Jacques;1;;;Denfert - Rochereau / Glacière;;48,83290081650;2,33713519061
1450;f7564950-e922-406b-bc65-e5f80bad1576;M6;Glacière;ed544ed8-535a-4ce1-9430-9546d68747df/c3ff3def-9e04-4b96-897b-b31320fa9560;Glacière;1;;;Saint-Jacques / Corvisart;;48,83112954800;2,34351165775
1460;c3ff3def-9e04-4b96-897b-b31320fa9560;M6;Corvisart;f7564950-e922-406b-bc65-e5f80bad1576/60b3084a-256d-4462-965b-d4300723a1e5;Corvisart;1;;;Glacière / Place d'Italie;;48,82979051370;2,35041487201
1470;60b3084a-256d-4462-965b-d4300723a1e5;M6;Place d'Italie;c3ff3def-9e04-4b96-897b-b31320fa9560/7aa3d05a-7558-4796-903e-5309201bd540;Place d'Italie;3;4ab9c0b8-bda1-434e-96fa-9897fd05fc11/9cc8c832-0b9a-4960-8b00-bf69bd1424ab;;Corvisart / Nationale;Place d'Italie / Place d'Italie;48,83092724100;2,35612193880
1480;7aa3d05a-7558-4796-903e-5309201bd540;M6;Nationale;60b3084a-256d-4462-965b-d4300723a1e5/f7be018c-07c3-4d8f-b500-aee8a6758038;Nationale;1;;;Place d'Italie / Chevaleret;;48,83321671970;2,36285639952
1490;f7be018c-07c3-4d8f-b500-aee8a6758038;M6;Chevaleret;7aa3d05a-7558-4796-903e-5309201bd540/30e17dd1-b336-4edc-be27-2792b8d2710d;Chevaleret;1;;;Nationale / Quai de la Gare;;48,83494772230;2,36812632906
1500;30e17dd1-b336-4edc-be27-2792b8d2710d;M6;Quai de la Gare;f7be018c-07c3-4d8f-b500-aee8a6758038/cc8704fb-c908-463c-8159-6e2379666108;Quai de la Gare;1;;;Chevaleret / Bercy;;48,83704511920;2,37282572183
1510;cc8704fb-c908-463c-8159-6e2379666108;M6;Bercy;30e17dd1-b336-4edc-be27-2792b8d2710d/758e7841-1a49-4e10-9c11-4cb6789edacd;Bercy;2;5bca94f6-e392-4061-825a-88847ad43c11;;Quai de la Gare / Dugommier;Bercy;48,84038874810;2,37991127145
1520;758e7841-1a49-4e10-9c11-4cb6789edacd;M6;Dugommier;cc8704fb-c908-463c-8159-6e2379666108/33efcd47-ecc6-4752-9e72-cefb278dc89e;Dugommier;1;;;Bercy / Dausmenil;;48,83904114370;2,38962001134
1530;33efcd47-ecc6-4752-9e72-cefb278dc89e;M6;Dausmenil;758e7841-1a49-4e10-9c11-4cb6789edacd/27214370-e4c5-46ac-bb59-9d8da592c88f;Dausmenil;2;e35c326a-0b77-4b12-9da6-79789ce2a5c4;;Dugommier / Bel-Air;Dausmenil;48,83954964560;2,39570328944
1540;27214370-e4c5-46ac-bb59-9d8da592c88f;M6;Bel-Air;33efcd47-ecc6-4752-9e72-cefb278dc89e/4acb6b43-e63b-41da-bc4c-7a8609cf16e5;Bel-Air;1;;;Dausmenil / Picpus;;48,84133825090;2,40091853812
1550;4acb6b43-e63b-41da-bc4c-7a8609cf16e5;M6;Picpus;27214370-e4c5-46ac-bb59-9d8da592c88f/ae68412a-5504-4d74-8d80-1e7e95a44d9f;Picpus;1;;;Bel-Air / Nation;;48,84506157990;2,40128901983
1560;ae68412a-5504-4d74-8d80-1e7e95a44d9f;M6;Nation;4acb6b43-e63b-41da-bc4c-7a8609cf16e5;Nation;4;3fe3b2e7-bc78-42b7-aee2-d9e24a170873/a1acd0b7-df11-4b1f-b234-f22cc3494994/68cf43b0-06f8-4a86-a6fd-2bdaffc8f49f;;Picpus;Nation / Nation / Nation;48,84737487870;2,39546199483
1570;b7466cd2-1062-4ef1-a8bc-c01b8a106d1f;M7;La Courneuve - 8 Mai 1945;f011b367-77b7-4c03-b63a-c8ae5c6fafa3;La Courneuve - 8 Mai 1945;1;;;Fort d'Aubervilliers;;48,92078596990;2,41059861373
1580;f011b367-77b7-4c03-b63a-c8ae5c6fafa3;M7;Fort d'Aubervilliers;b7466cd2-1062-4ef1-a8bc-c01b8a106d1f/cf95fa18-973e-40c0-a616-c9d59558b22f;Fort d'Aubervilliers;1;;;La Courneuve - 8 Mai 1945 / Aubervilliers - Pantin - Quatre Chemins;;48,91494975640;2,40440908743
1590;cf95fa18-973e-40c0-a616-c9d59558b22f;M7;Aubervilliers - Pantin - Quatre Chemins;f011b367-77b7-4c03-b63a-c8ae5c6fafa3/60e334fd-e399-48b3-a2da-d95306aa6bde;Aubervilliers - Pantin - Quatre Chemins;1;;;Fort d'Aubervilliers / Porte de la Villette;;48,90375993020;2,39228705964
1600;60e334fd-e399-48b3-a2da-d95306aa6bde;M7;Porte de la Villette;cf95fa18-973e-40c0-a616-c9d59558b22f/2ef6381b-4da7-499d-a30d-593505692b2f;Porte de la Villette;1;;;Aubervilliers - Pantin - Quatre Chemins / Corentin Cariou;;48,89738989070;2,38550838768
1610;2ef6381b-4da7-499d-a30d-593505692b2f;M7;Corentin Cariou;60e334fd-e399-48b3-a2da-d95306aa6bde/36dfacce-996a-41cf-86fa-11783b821d05;Corentin Cariou;1;;;Porte de la Villette / Crimée;;48,89483646840;2,38252234342
1620;36dfacce-996a-41cf-86fa-11783b821d05;M7;Crimée;2ef6381b-4da7-499d-a30d-593505692b2f/7a1abb55-0e84-4bfc-b250-5825eb671c8c;Crimée;1;;;Corentin Cariou / Riquet;;48,89078896950;2,37731575560
1630;7a1abb55-0e84-4bfc-b250-5825eb671c8c;M7;Riquet;36dfacce-996a-41cf-86fa-11783b821d05/eed6aec9-53ed-42e5-bb4c-b695b4571f82;Riquet;1;;;Crimée / Stalingrad;;48,88826761700;2,37420401204
1640;eed6aec9-53ed-42e5-bb4c-b695b4571f82;M7;Stalingrad;7a1abb55-0e84-4bfc-b250-5825eb671c8c/5e36d407-7375-4399-8286-2438214f9725;Stalingrad;3;ee8beb96-1812-440f-80b7-d9a7b0094388/fac704ce-20a3-441a-ad2e-43b9b5c78b0c;;Riquet / Louis Blanc;Stalingrad / Stalingrad;48,88438514540;2,36939198436
1650;5e36d407-7375-4399-8286-2438214f9725;M7;Louis Blanc;eed6aec9-53ed-42e5-bb4c-b695b4571f82/972d75b1-8a40-4ef5-ba37-a4e83162d02a;Louis Blanc;2;e7bab5a6-d571-4233-8abb-568b0a0df76b;;Stalingrad / Château-Landon;Louis Blanc;48,88128581190;2,36554431917
1660;972d75b1-8a40-4ef5-ba37-a4e83162d02a;M7;Château-Landon;5e36d407-7375-4399-8286-2438214f9725/c5202f62-6a57-44bb-b057-422e3454ee38;Château-Landon;1;;;Louis Blanc / Gare de l'Est;;48,87856562580;2,36216007192
1670;c5202f62-6a57-44bb-b057-422e3454ee38;M7;Gare de l'Est;972d75b1-8a40-4ef5-ba37-a4e83162d02a/d8850a9e-5419-4051-8b8a-c515a3b9c3a2;Gare de l'Est;3;154524ba-089d-4474-b1cf-9533abbd28b0/979f7753-6044-4475-826d-9873b9020a51;;Château-Landon / Poissonnière;Gare de l'Est / Gare de l'Est;48,87627270350;2,35805790434
1680;d8850a9e-5419-4051-8b8a-c515a3b9c3a2;M7;Poissonnière;c5202f62-6a57-44bb-b057-422e3454ee38/1fda4799-6798-4c5c-9594-04c34b8024da;Poissonnière;1;;;Gare de l'Est / Cadet;;48,87723631910;2,34929390248
1690;1fda4799-6798-4c5c-9594-04c34b8024da;M7;Cadet;d8850a9e-5419-4051-8b8a-c515a3b9c3a2/328c2fa9-8a9f-4b0b-a4d4-9cfc2b3787f2;Cadet;1;;;Poissonnière / Le Peletier;;48,87589068190;2,34412603046
1700;328c2fa9-8a9f-4b0b-a4d4-9cfc2b3787f2;M7;Le Peletier;1fda4799-6798-4c5c-9594-04c34b8024da/817870c1-d954-41de-926c-72dd4c8e4eeb;Le Peletier;1;;;Cadet / Chaussée d'Antin - La Fayette;;48,87487434340;2,34019988439
1710;817870c1-d954-41de-926c-72dd4c8e4eeb;M7;Chaussée d'Antin - La Fayette;328c2fa9-8a9f-4b0b-a4d4-9cfc2b3787f2/4e145214-f40c-4cf3-b4aa-76e0c987ff49;Chaussée d'Antin - La Fayette;2;ec6e5c91-fccf-4c94-a5fc-5f5f25d8594d;;Le Peletier / Opéra;Chaussée d'Antin - La Fayette;48,87310927430;2,33345121858
1720;4e145214-f40c-4cf3-b4aa-76e0c987ff49;M7;Opéra;817870c1-d954-41de-926c-72dd4c8e4eeb/d9826fce-40f6-4c37-98a9-f09e3de33bd2;Opéra;3;7497e934-33d8-4143-ac73-b75e9841cc85/6f37ba26-77e1-4105-8840-a3ca42c98c1e;;Chaussée d'Antin - La Fayette / Pyramides;Opéra / Opéra;48,87048670330;2,33240740643
1730;d9826fce-40f6-4c37-98a9-f09e3de33bd2;M7;Pyramides;4e145214-f40c-4cf3-b4aa-76e0c987ff49/0f5796bf-b157-4c46-9427-f9071fc75312;Pyramides;2;a69d56f6-038e-493c-8226-6a6b1bcf1d05;;Opéra / Palais Royal - Musée du Louvre;Pyramides;48,86598092050;2,33433072438
1740;0f5796bf-b157-4c46-9427-f9071fc75312;M7;Palais Royal - Musée du Louvre;d9826fce-40f6-4c37-98a9-f09e3de33bd2/27e3286a-d4bb-418f-a973-c2f843201e4a;Palais Royal - Musée du Louvre;2;c8cca062-47ed-4801-8906-b5849492a297;;Pyramides / Pont Neuf;Palais Royal - Musée du Louvre;48,86282967280;2,33687839760
1750;27e3286a-d4bb-418f-a973-c2f843201e4a;M7;Pont Neuf;0f5796bf-b157-4c46-9427-f9071fc75312/9046fec1-7211-4c22-bdc3-f28e5aff4f2a;Pont Neuf;1;;;Palais Royal - Musée du Louvre / Châtelet;;48,85855382640;2,34223275937
1760;9046fec1-7211-4c22-bdc3-f28e5aff4f2a;M7;Châtelet;27e3286a-d4bb-418f-a973-c2f843201e4a/96ccc5b7-dfca-4b67-8912-e9f144e4f0b8;Châtelet;5;241906bd-1a8a-460a-a00a-19ab1e7af0d9/c9afc5c0-8386-4ac7-ba16-b78795f4bc30/dbdbbb8b-724e-4cb7-af3f-a8d4094d0b87/22df1bb1-c6ab-4788-8194-fd97d494e025;;Pont Neuf / Pont Marie;Châtelet / Châtelet / Châtelet / Châtelet;48,85705996630;2,34771187993
1770;96ccc5b7-dfca-4b67-8912-e9f144e4f0b8;M7;Pont Marie;9046fec1-7211-4c22-bdc3-f28e5aff4f2a/cc60fc70-a0e1-44ca-b0d2-7c5aaf2bb761;Pont Marie;1;;;Châtelet / Sully - Morland;;48,85357547250;2,35716257162
1780;cc60fc70-a0e1-44ca-b0d2-7c5aaf2bb761;M7;Sully - Morland;96ccc5b7-dfca-4b67-8912-e9f144e4f0b8/7069efeb-bc47-4edf-bda1-82d5f4787e58;Sully - Morland;1;;;Pont Marie / Jussieu;;48,85123768040;2,36198514100
1790;7069efeb-bc47-4edf-bda1-82d5f4787e58;M7;Jussieu;cc60fc70-a0e1-44ca-b0d2-7c5aaf2bb761/79b04856-e340-4c50-8358-fb946ec65095;Jussieu;2;3b879b61-66f0-458a-b736-cd6fe06b58a5;;Sully - Morland / Place Monge;Jussieu;48,84595066660;2,35505026306
1800;79b04856-e340-4c50-8358-fb946ec65095;M7;Place Monge;7069efeb-bc47-4edf-bda1-82d5f4787e58/6d6b6937-0ecd-4e41-916d-3b756bd7a041;Place Monge;1;;;Jussieu / Censier Daubenton;;48,84286683070;2,35222472818
1810;6d6b6937-0ecd-4e41-916d-3b756bd7a041;M7;Censier Daubenton;79b04856-e340-4c50-8358-fb946ec65095/8340f9f1-977c-4eb8-bd20-24ad28847bc7;Censier Daubenton;1;;;Place Monge / Les Gobelins;;48,84048665260;2,35173948717
1820;8340f9f1-977c-4eb8-bd20-24ad28847bc7;M7;Les Gobelins;6d6b6937-0ecd-4e41-916d-3b756bd7a041/9cc8c832-0b9a-4960-8b00-bf69bd1424ab;Les Gobelins;1;;;Censier Daubenton / Place d'Italie;;48,83586348420;2,35258892564
1830;9cc8c832-0b9a-4960-8b00-bf69bd1424ab;M7;Place d'Italie;8340f9f1-977c-4eb8-bd20-24ad28847bc7/89955209-9e05-4936-b935-ce002b119ffd;Place d'Italie;3;4ab9c0b8-bda1-434e-96fa-9897fd05fc11/60b3084a-256d-4462-965b-d4300723a1e5;;Les Gobelins / Tolbiac;Place d'Italie / Place d'Italie;48,83143363100;2,35564364302
1840;89955209-9e05-4936-b935-ce002b119ffd;M7;Tolbiac;9cc8c832-0b9a-4960-8b00-bf69bd1424ab/0b14e413-a0b1-45fb-8170-a7d50d4b6461;Tolbiac;1;;;Place d'Italie / Maison Blanche;;48,82642601090;2,35724565076
1850;0b14e413-a0b1-45fb-8170-a7d50d4b6461;M7;Maison Blanche;89955209-9e05-4936-b935-ce002b119ffd/07372633-832e-4c75-902b-975bae2c2dd2/a7378aa1-6fea-4a6d-bfb6-75e379e66bf2;Maison Blanche;1;;;Tolbiac / Porte d'Italie / Le Kremlin - Bicêtre;;48,82243783460;2,35847388385
1860;07372633-832e-4c75-902b-975bae2c2dd2;M7;Porte d'Italie;0b14e413-a0b1-45fb-8170-a7d50d4b6461/31d6de51-e073-48f9-a9c5-59ad322019ff;Porte d'Italie;1;;;Maison Blanche / Porte de Choisy;;48,81922334960;2,35970521675
1870;31d6de51-e073-48f9-a9c5-59ad322019ff;M7;Porte de Choisy;07372633-832e-4c75-902b-975bae2c2dd2/b010b770-f802-4990-98c1-884401bee0e8;Porte de Choisy;1;;;Porte d'Italie / Porte d'Ivry;;48,81987622100;2,36453195175
1880;b010b770-f802-4990-98c1-884401bee0e8;M7;Porte d'Ivry;31d6de51-e073-48f9-a9c5-59ad322019ff/6ace4581-1c73-425d-81ce-b2dceae26a91;Porte d'Ivry;1;;;Porte de Choisy / Pierre et Marie Curie;;48,82135578380;2,36929058735
1890;6ace4581-1c73-425d-81ce-b2dceae26a91;M7;Pierre et Marie Curie;b010b770-f802-4990-98c1-884401bee0e8/6b79ba58-9fc2-462c-9bec-dd6a77fbd72a;Pierre et Marie Curie;1;;;Porte d'Ivry / Mairie d'Ivry;;48,81593076300;2,37726720015
1900;6b79ba58-9fc2-462c-9bec-dd6a77fbd72a;M7;Mairie d'Ivry;6ace4581-1c73-425d-81ce-b2dceae26a91;Mairie d'Ivry;1;;;Pierre et Marie Curie;;48,81109919770;2,38355147965
1910;a7378aa1-6fea-4a6d-bfb6-75e379e66bf2;M7;Le Kremlin - Bicêtre;0b14e413-a0b1-45fb-8170-a7d50d4b6461/5749252d-700f-4976-bf15-754b7909451c;Le Kremlin - Bicêtre;1;;;Maison Blanche / Villejuif - Léo Lagrange;;48,81012995730;2,36226338713
1920;5749252d-700f-4976-bf15-754b7909451c;M7;Villejuif - Léo Lagrange;a7378aa1-6fea-4a6d-bfb6-75e379e66bf2/1532119f-7f5e-423c-a2f7-db0e6b4e8e4c;Villejuif - Léo Lagrange;1;;;Le Kremlin - Bicêtre / Villejuif - Paul Vaillant-Couturier;;48,80468812090;2,36395319660
1930;1532119f-7f5e-423c-a2f7-db0e6b4e8e4c;M7;Villejuif - Paul Vaillant-Couturier;5749252d-700f-4976-bf15-754b7909451c/c70516f4-ea24-4cd6-8270-293358f1350b;Villejuif - Paul Vaillant-Couturier;1;;;Villejuif - Léo Lagrange / Villejuif - Louis Aragon;;48,79648308280;2,36826954143
1940;c70516f4-ea24-4cd6-8270-293358f1350b;M7;Villejuif - Louis Aragon;1532119f-7f5e-423c-a2f7-db0e6b4e8e4c;Villejuif - Louis Aragon;1;;;Villejuif - Paul Vaillant-Couturier;;48,78756279210;2,36780410698
1950;e7bab5a6-d571-4233-8abb-568b0a0df76b;M7BIS;Louis Blanc;132489eb-4061-402f-9ba5-50755201633c;Louis Blanc;2;5e36d407-7375-4399-8286-2438214f9725;;Jaurès;Louis Blanc;48,88140473220;2,36521878185
1960;132489eb-4061-402f-9ba5-50755201633c;M7BIS;Jaurès;e7bab5a6-d571-4233-8abb-568b0a0df76b/f2854df6-abe0-49f1-bccf-43596611bae5;Jaurès;3;c7a97b27-235c-4a4a-bfba-f9ca4f4501bc/d42d11c4-1641-4bb3-88ff-c40ad18b9089;;Louis Blanc / Bolivar;Jaurès / Jaurès;48,88246524560;2,37015796174
1970;f2854df6-abe0-49f1-bccf-43596611bae5;M7BIS;Bolivar;132489eb-4061-402f-9ba5-50755201633c/bd60d06b-6e24-4bc6-a61d-7cb42140cfb9;Bolivar;1;;;Jaurès / Buttes Chaumont;;48,88082126140;2,37414715384
1980;bd60d06b-6e24-4bc6-a61d-7cb42140cfb9;M7BIS;Buttes Chaumont;f2854df6-abe0-49f1-bccf-43596611bae5/4bbb64d2-55cb-4576-b70c-3777b789dd03;Buttes Chaumont;1;;;Bolivar / Botzaris;;48,87851411310;2,38161451194
1990;4bbb64d2-55cb-4576-b70c-3777b789dd03;M7BIS;Botzaris;bd60d06b-6e24-4bc6-a61d-7cb42140cfb9/5cbb007d-8b80-4788-999d-d285d54ba325/b0159fb7-cc52-43e7-92e9-c4b3d21f2b92;Botzaris;1;;;Buttes Chaumont / Danube / Place des Fêtes;;48,87948177190;2,38911580738
2000;5cbb007d-8b80-4788-999d-d285d54ba325;M7BIS;Danube;4bbb64d2-55cb-4576-b70c-3777b789dd03/98f2d262-eeea-4515-808a-db431fa208bc;Danube;1;;;Botzaris / Pré Saint-Gervais;;48,88193199870;2,39344545649
2010;b0159fb7-cc52-43e7-92e9-c4b3d21f2b92;M7BIS;Place des Fêtes;98f2d262-eeea-4515-808a-db431fa208bc/4bbb64d2-55cb-4576-b70c-3777b789dd03;Place des Fêtes;2;f327c7c3-fd0f-498d-9955-fc5767c24166;;Pré Saint-Gervais / Botzaris;Place des Fêtes;48,87694984810;2,39298396482
2020;98f2d262-eeea-4515-808a-db431fa208bc;M7BIS;Pré Saint-Gervais;b0159fb7-cc52-43e7-92e9-c4b3d21f2b92/5cbb007d-8b80-4788-999d-d285d54ba325;Pré Saint-Gervais;1;;;Place des Fêtes / Danube;;48,87999579440;2,39894666246
2030;0a5ea39e-e669-4770-be27-651690edd9d9;M8;Balard;f5335d21-d7ad-4ab9-bc63-86d5cbb0e474;Balard;1;;;Lourmet;;48,83593087920;2,27816167128
2040;f5335d21-d7ad-4ab9-bc63-86d5cbb0e474;M8;Lourmet;0a5ea39e-e669-4770-be27-651690edd9d9/98eb1899-bebf-4241-800b-2d3574733c8a;Lourmet;1;;;Balard / Bousicaut;;48,83896093940;2,28270002724
2050;98eb1899-bebf-4241-800b-2d3574733c8a;M8;Bousicaut;f5335d21-d7ad-4ab9-bc63-86d5cbb0e474/7b4d56f3-471d-40c9-bed7-52f6eba01b6c;Bousicaut;1;;;Lourmet / Félix Faure;;48,84109405630;2,28794576650
2060;7b4d56f3-471d-40c9-bed7-52f6eba01b6c;M8;Félix Faure;98eb1899-bebf-4241-800b-2d3574733c8a/ce409036-a084-4365-8f0a-b0cb0520d077;Félix Faure;1;;;Bousicaut / Commerce;;48,84274677980;2,29191241332
2070;ce409036-a084-4365-8f0a-b0cb0520d077;M8;Commerce;7b4d56f3-471d-40c9-bed7-52f6eba01b6c/418bdc65-4b7d-443f-a024-1200bc1b5557;Commerce;1;;;Félix Faure / La Motte-Piquet - Grenelle;;48,84479476460;2,29395196364
2080;418bdc65-4b7d-443f-a024-1200bc1b5557;M8;La Motte-Piquet - Grenelle;ce409036-a084-4365-8f0a-b0cb0520d077/605879b3-3e75-486a-8d99-7e6a6614809b;La Motte-Piquet - Grenelle;3;43cb2e8d-a03c-4539-975d-48113a7dc1fb/418bdc65-4b7d-443f-a024-1200bc1b5557;;Commerce / Ecole Militaire;La Motte-Piquet - Grenelle / La Motte-Piquet - Grenelle;48,84935055360;2,29830140173
2090;605879b3-3e75-486a-8d99-7e6a6614809b;M8;Ecole Militaire;418bdc65-4b7d-443f-a024-1200bc1b5557/d2b3b690-3816-4b8c-aa62-24917648d62d;Ecole Militaire;1;;;La Motte-Piquet - Grenelle / La Tour-Maubourg;;48,85468215690;2,30609740370
2100;d2b3b690-3816-4b8c-aa62-24917648d62d;M8;La Tour-Maubourg;605879b3-3e75-486a-8d99-7e6a6614809b/d522db49-61de-402c-a168-0f16bfcf8e8f;La Tour-Maubourg;1;;;Ecole Militaire / Invalides;;48,85772541290;2,31056596095
2110;d522db49-61de-402c-a168-0f16bfcf8e8f;M8;Invalides;d2b3b690-3816-4b8c-aa62-24917648d62d/39cd89b6-2ed3-4ef5-ac7c-e5903f131c96;Invalides;2;a08250b1-c397-4629-b8da-815f942f38d9;;La Tour-Maubourg / Concorde;Invalides;48,86232532910;2,31513843219
2120;39cd89b6-2ed3-4ef5-ac7c-e5903f131c96;M8;Concorde;d522db49-61de-402c-a168-0f16bfcf8e8f/ea285362-8547-46d3-9477-931b470d0f79;Concorde;3;977af1c5-4d39-4406-82a5-c1e811c51410/52b3674d-e0dd-4997-ac4d-149e2874e0f9;;Invalides / Madeleine;Concorde / Concorde;48,86681836900;2,32208284869
2130;ea285362-8547-46d3-9477-931b470d0f79;M8;Madeleine;39cd89b6-2ed3-4ef5-ac7c-e5903f131c96/6f37ba26-77e1-4105-8840-a3ca42c98c1e;Madeleine;3;ad8f3b37-7952-4a80-8c25-4f4a98604018/c7db3972-1b0b-4202-a9ef-1dcb33069525;;Concorde / Opéra;Madeleine / Madeleine;48,86963317300;2,32627227403
2140;6f37ba26-77e1-4105-8840-a3ca42c98c1e;M8;Opéra;ea285362-8547-46d3-9477-931b470d0f79/9935d16b-398e-4b71-81eb-c2fadd07a4ab;Opéra;3;7497e934-33d8-4143-ac73-b75e9841cc85/4e145214-f40c-4cf3-b4aa-76e0c987ff49;;Madeleine / Richelieu - Drouot;Opéra / Opéra;48,87064173230;2,33213859959
2150;9935d16b-398e-4b71-81eb-c2fadd07a4ab;M8;Richelieu - Drouot;6f37ba26-77e1-4105-8840-a3ca42c98c1e/d87b4a39-5067-4466-8765-23a177d692e5;Richelieu - Drouot;2;80c2301d-e86a-4d08-8a3e-a74718dd76bb;;Opéra / Grands Boulevards;Richelieu - Drouot;48,87178660210;2,33903054672
2160;d87b4a39-5067-4466-8765-23a177d692e5;M8;Grands Boulevards;9935d16b-398e-4b71-81eb-c2fadd07a4ab/bea4f9bd-c26b-47cf-b37d-b373220a32a4;Grands Boulevards;2;;;Richelieu - Drouot / Bonne Nouvelle;;48,87149773940;2,34315477308
2170;bea4f9bd-c26b-47cf-b37d-b373220a32a4;M8;Bonne Nouvelle;d87b4a39-5067-4466-8765-23a177d692e5/6014b488-6855-4d24-9291-e4a40fe4cde0;Bonne Nouvelle;2;;;Grands Boulevards / Strasbourg - Saint-Denis;;48,87016420090;2,35049797186
2180;6014b488-6855-4d24-9291-e4a40fe4cde0;M8;Strasbourg - Saint-Denis;bea4f9bd-c26b-47cf-b37d-b373220a32a4/b15b689a-f391-4a2c-8727-0073778518ed;Strasbourg - Saint-Denis;3;b72964b7-7ffb-4ca7-8729-baebb0b40c41/6014b488-6855-4d24-9291-e4a40fe4cde0;;Bonne Nouvelle / République;Strasbourg - Saint-Denis / Strasbourg - Saint-Denis;48,86922417170;2,35460379070
2190;b15b689a-f391-4a2c-8727-0073778518ed;M8;République;6014b488-6855-4d24-9291-e4a40fe4cde0/7006e1f8-4bc7-4f7c-9b72-1be9c3ebc47e;République;5;b02dedb1-5c12-4990-85a3-51b96860363d/01aec5d9-209a-454e-8f37-b877f74ffe8a/1616e4eb-50f4-4073-b7c4-ddf714264278/f1ad70bd-5d00-43df-8f2f-d403a99954e8;;Strasbourg - Saint-Denis / Filles du Calvaire;République / République / République / République;48,86715872530;2,36395783650
2200;7006e1f8-4bc7-4f7c-9b72-1be9c3ebc47e;M8;Filles du Calvaire;b15b689a-f391-4a2c-8727-0073778518ed/c3c94791-c81d-4bd0-aed8-dd858c1947ca;Filles du Calvaire;1;;;République / Saint-Sébastien - Froissart;;48,86325794500;2,36666109472
